,id_site,no_couche,carbone_16_5_1,ph_eau_6_1,soil_composition,desc_code_occupation1,desc_code_occupation3,x_theo,y_theo
3457,2020,1,44.8,6.0,0.691,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,661599.23,6301723.44
3458,2021,1,18.6,6.2,0.638,surfaces boisees,forets caducifoliees,677581.59,6301589.11
3459,2021,2,3.14,6.5,0.699,surfaces boisees,forets caducifoliees,677581.59,6301589.11
3460,2022,1,45.6,7.6,0.791,surfaces boisees,forets caducifoliees,693563.89,6301454.58
3461,2023,1,22.2,8.1,0.617,surfaces toujours en herbe,Surface toujours en herbe (STH),709546.21,6301319.83
3462,2024,1,62.8,8.2,0.868,surfaces boisees,forets caducifoliees,725528.54,6301184.84
3463,2025,1,29.1,8.0,0.735,milieux naturels particuliers,landes et fruticees,741510.83,6301049.72
3464,2026,1,62.7,7.3,0.918,surfaces boisees,forets caducifoliees,757493.23,6300914.57
3465,2027,1,17.1,8.3,0.658,surfaces boisees,forets de coniferes,773475.56,6300779.16
3466,2027,2,10.4,8.5,0.698,surfaces boisees,forets de coniferes,773475.56,6300779.16
3467,2028,1,14.3,8.2,0.657,successions culturales,maraa®chage,789457.78,6300643.53
3468,2028,2,11.4,8.3,0.66,successions culturales,maraa®chage,789457.78,6300643.53
3469,2029,1,18.5,8.23,0.715,vignes vergers et cultures perennes arbustives,fruits a  noyau,805440.03,6300507.76
3470,2030,1,13.4,7.14,0.514,successions culturales,jachere fixe,821422.33,6300371.76
3471,2030,2,6.79,6.47,0.527,successions culturales,jachere fixe,821422.33,6300371.76
3472,2031,1,12.5,8.4,0.952,successions culturales,monoculture,837404.65,6300235.59
3473,2031,2,9.26,8.45,0.959,successions culturales,monoculture,837404.65,6300235.59
3474,2032,1,11.8,8.28,0.604,successions culturales,systeme de rotations sans prairie sans interculture,853386.9,6300099.18
3475,2032,2,10.6,8.29,0.564,successions culturales,systeme de rotations sans prairie sans interculture,853386.9,6300099.18
3476,2033,1,12.7,8.34,0.443,successions culturales,maraa®chage,869369.17,6299962.57
3477,2033,2,8.27,8.4,0.515,successions culturales,maraa®chage,869369.17,6299962.57
3478,2034,1,108.0,7.9,0.926,surfaces boisees,forets caducifoliees,885351.43,6299825.78
3479,2035,1,7.8,8.46,0.461,vignes vergers et cultures perennes arbustives,vigne (en culture pure),901333.61,6299688.82
3480,2035,2,4.1,8.48,0.453,vignes vergers et cultures perennes arbustives,vigne (en culture pure),901333.61,6299688.82
3481,2036,1,13.6,8.5,0.466,surfaces boisees,forets mixtes,917315.72,6299551.67
3482,2036,2,6.76,8.7,0.644,surfaces boisees,forets mixtes,917315.72,6299551.67
3483,2037,1,11.7,8.27,0.811,successions culturales,systeme de rotations sans prairie sans interculture,933297.88,6299414.27
3484,2037,2,9.08,8.34,0.832,successions culturales,systeme de rotations sans prairie sans interculture,933297.88,6299414.27
3485,2038,1,11.6,8.2,0.755,successions culturales,systeme de rotations sans prairie sans interculture,949280.03,6299276.7
3486,2038,2,8.24,8.4,0.754,successions culturales,systeme de rotations sans prairie sans interculture,949280.03,6299276.7
3487,2040,1,47.5,7.9,0.759,surfaces boisees,forets mixtes,981244.26,6299001.02
3488,2040,2,9.43,8.2,0.78,surfaces boisees,forets mixtes,981244.26,6299001.02
